epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77835,0.79347,3.16636,1.08588,0.0094,0.66919,0.08221,0.05873,0.71522,3.09135,0.99688,2.858e-05,2.858e-05,2.858e-05
2,9.48448,0.84096,3.04973,1.11465,0.01065,0.65923,0.11233,0.08742,0.63603,3.08912,0.97167,7.07426e-05,7.07426e-05,7.07426e-05
3,10.0513,0.67337,3.09225,1.0451,0.01605,0.7862,0.22968,0.19205,0.45301,3.0205,0.89355,0.000112056,0.000112056,0.000112056
4,10.6264,0.63719,2.90187,1.01962,0.02054,0.87023,0.32982,0.2738,0.52596,2.95306,0.89645,0.000152521,0.000152521,0.000152521
5,11.2031,0.62019,2.64319,1.02356,0.0214,0.9422,0.40427,0.31734,0.63942,2.88536,0.92552,0.000192138,0.000192138,0.000192138
6,11.7555,0.61354,2.43751,0.9814,0.02062,0.98485,0.44095,0.33148,0.6358,2.86782,0.95425,0.000230905,0.000230905,0.000230905
7,12.3088,0.62725,2.28074,0.9659,0.01875,0.98485,0.50201,0.4021,0.57027,2.83915,0.92003,0.000268823,0.000268823,0.000268823
8,12.868,0.63251,2.12301,0.97758,0.01762,0.98485,0.55301,0.44196,0.57861,2.82469,0.90735,0.000305893,0.000305893,0.000305893
9,13.5556,0.64064,2.00905,1.03076,0.01663,0.98485,0.6451,0.54565,0.54189,2.77862,0.88177,0.000342114,0.000342114,0.000342114
10,14.0993,0.63674,1.77734,1.00127,0.01571,0.98485,0.64545,0.53477,0.53314,2.75647,0.89059,0.000377486,0.000377486,0.000377486
11,14.642,0.67297,1.80085,1.01781,0.01452,1,0.66987,0.54414,0.62042,2.69561,0.93701,0.000412009,0.000412009,0.000412009
12,15.18,0.5899,1.51276,0.97432,0.01434,1,0.69564,0.58287,0.58687,2.6554,0.92512,0.000445684,0.000445684,0.000445684
13,15.7648,0.60518,1.62896,0.9927,0.73252,0.6047,0.75059,0.63602,0.54859,2.58581,0.89027,0.000478509,0.000478509,0.000478509
14,16.3531,0.60877,1.29662,0.96771,1,0.04627,0.74827,0.62977,0.55532,2.55673,0.88999,0.000510486,0.000510486,0.000510486
15,16.9048,0.71002,1.44058,0.99616,1,0.08128,0.70949,0.60768,0.64262,2.506,0.8917,0.000541614,0.000541614,0.000541614
16,17.5576,0.60162,1.28943,0.97611,1,0.15566,0.70812,0.59597,0.626,2.4443,0.89175,0.000571893,0.000571893,0.000571893
17,18.0988,0.69635,1.29016,1.03171,1,0.27297,0.72404,0.60476,0.57656,2.36309,0.9026,0.000601323,0.000601323,0.000601323
18,18.6284,0.65813,1.1632,0.96248,0.9827,0.32214,0.73009,0.58848,0.68719,2.33811,0.98116,0.000629905,0.000629905,0.000629905
19,19.1465,0.60471,1.16134,0.97594,0.97952,0.38786,0.75004,0.58875,0.80518,2.23935,1.06091,0.000657637,0.000657637,0.000657637
20,19.6541,0.66498,1.12957,1.00275,0.98569,0.47167,0.78304,0.63339,0.70308,2.12411,0.98307,0.000684521,0.000684521,0.000684521
21,20.1625,0.53115,1.15304,0.93419,0.99068,0.49805,0.81856,0.70509,0.58456,2.00572,0.90956,0.000710556,0.000710556,0.000710556
22,20.6989,0.57001,1.09786,0.9382,0.94254,0.57991,0.82895,0.7079,0.60771,1.90813,0.90735,0.000735742,0.000735742,0.000735742
23,21.349,0.55928,1.02959,0.91329,0.86934,0.63081,0.8304,0.69253,0.64475,1.87606,0.91111,0.000760079,0.000760079,0.000760079
24,21.8677,0.6088,1.06551,0.99235,0.70206,0.59658,0.81124,0.6993,0.58808,1.86136,0.89028,0.000783568,0.000783568,0.000783568
25,22.3944,0.64652,1.09674,1.04504,0.69826,0.59405,0.80873,0.70379,0.5483,1.86012,0.89935,0.000806208,0.000806208,0.000806208
26,22.9104,0.56657,1.0185,0.93482,0.67966,0.62375,0.78773,0.68517,0.55433,1.78387,0.89135,0.000827998,0.000827998,0.000827998
27,23.4318,0.53047,1.03911,0.94001,0.65153,0.64045,0.76824,0.64343,0.63415,1.76867,0.9284,0.00084894,0.00084894,0.00084894
28,23.9358,0.50328,0.92259,0.90602,0.65063,0.72581,0.76874,0.65545,0.61969,1.70702,0.93623,0.000869033,0.000869033,0.000869033
29,24.4305,0.56851,0.97203,0.93568,0.65063,0.72581,0.76874,0.65545,0.61969,1.70702,0.93623,0.000888278,0.000888278,0.000888278
30,24.9579,0.56621,1.01987,0.94803,0.63158,0.74538,0.85684,0.74683,0.56473,1.48616,0.91012,0.000906673,0.000906673,0.000906673
31,25.6142,0.53236,1.03115,0.92351,0.80209,0.80359,0.87741,0.76151,0.54925,1.36659,0.89791,0.00092422,0.00092422,0.00092422
32,26.1535,0.49249,0.91246,0.90781,0.75093,0.75162,0.83746,0.67404,0.70032,1.45634,0.92478,0.000940918,0.000940918,0.000940918
33,26.6626,0.58856,0.95417,0.96212,0.75093,0.75162,0.83746,0.67404,0.70032,1.45634,0.92478,0.000956767,0.000956767,0.000956767
34,27.1784,0.54705,0.92391,0.91879,0.71494,0.71876,0.79252,0.63514,0.69563,1.52599,0.94504,0.000962146,0.000962146,0.000962146
35,27.6824,0.47801,0.88885,0.88324,0.63428,0.75848,0.73139,0.59746,0.59474,1.44459,0.92957,0.000947999,0.000947999,0.000947999
36,28.2076,0.56425,0.93786,0.98133,0.69499,0.76282,0.77401,0.62791,0.61883,1.3291,0.94046,0.000933851,0.000933851,0.000933851
37,28.8323,0.51004,0.79575,0.92503,0.69499,0.76282,0.77401,0.62791,0.61883,1.3291,0.94046,0.000919704,0.000919704,0.000919704
